Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
"Glycogen, muscle and liver",Protein,PKA reg,PRKAR1A,P10644,not applicable,"RIα, ubiquitous"
"Glycogen, muscle and liver",Protein,PKA reg,PRKAR1B,P31321,not applicable,"RIβ, brain"
"Glycogen, muscle and liver",Protein,PKA reg,PRKAR2A,P13861,not applicable,"RIIα, ubiquitous"
"Glycogen, muscle and liver",Protein,PKA reg,PRKAR2B,P31323,not applicable,"RIIβ, brain and adipose tissue"
"Glycogen, muscle and liver",Protein,PPP1,PPP1CA,P62136,not applicable,"PP1α, ubiquitous"
"Glycogen, muscle and liver",Protein,PPP1,PPP1CB,P62140,not applicable,"PP1β, ubiquitous"
"Glycogen, muscle and liver",Protein,PPP1,PPP1CC,P36873,not applicable,"PP1γ, ubiquitous"
"Glycogen, muscle",Protein,PYGM,PYGM,P11217,not applicable,Muscle glycogen phosphorylase
"Glycogen, liver",Protein,PYGL,PYGL,P06737,not applicable,Liver glycogen phosphorylase
"Glycogen, muscle and liver",Protein,UGP2,UGP2,Q16851,not applicable,UDP-glucose pyrophosphorylase
"Glycogen, muscle and liver",Metabolite,UTP,not applicable,not applicable,CHEBI:15713,
"Glycogen, muscle and liver",Metabolite,α-D-glucose-1P,not applicable,not applicable,CHEBI:29042,
"Glycogen, muscle and liver",Metabolite,UDP-D-glucose,not applicable,not applicable,CHEBI:18066,
"Glycogen, muscle and liver",Metabolite,Pi,not applicable,not applicable,CHEBI:43474,Inorganic phosphate
"Glycogen, muscle and liver",Metabolite,"PI(3,4,5)P3",not applicable,not applicable,CHEBI:16618,"Phosphatidylinositol 3,4,5-trisphosphate"
"Glycogen, muscle and liver",Metabolite,"PI(4,5)P2",not applicable,not applicable,CHEBI:18348,"Phosphatidylinositol 4,5-bisphosphate"
"Glycogen, muscle and liver",Metabolite,PPi,not applicable,not applicable,CHEBI:33019,Diphosphate
"Glycogen, muscle and liver",Metabolite,GDP,not applicable,not applicable,CHEBI:17552,
"Glycogen, muscle and liver",Metabolite,glucose (N:n),not applicable,not applicable,CHEBI:28087,Glycogen chain
"Glycogen, muscle and liver",Metabolite,glucose (N:n+1),not applicable,not applicable,CHEBI:28087,Glycogen chain
"Glycogen, muscle and liver",Metabolite,GTP,not applicable,not applicable,CHEBI:15996,
"Glycogen, muscle and liver",Metabolite,ATP,not applicable,not applicable,CHEBI:15422,
"Glycogen, muscle and liver",Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,
"Glycogen, muscle and liver",Metabolite,Ca2+,not applicable,not applicable,CHEBI:29108,
"Glycogen, muscle",Metabolite,Epinephrine,not applicable,not applicable,CHEBI:28918,Adrenaline
"Glycogen, muscle",Protein,ADRB2,ADRB2,P07550,not applicable,"β2-adrenergic receptor, muscle"
"Glycogen, muscle and liver",Protein,AKT2,AKT2,P31751,not applicable,"Main insulin-signalling AKT, not on map"
"Glycogen, muscle",Protein,PPP1R3A,PPP1R3A,Q16821,not applicable,"PP1 glycogen-targeting subunit, muscle, not on map"
"Glycogen, liver",Protein,PPP1R3B,PPP1R3B,Q86XI6,not applicable,"PP1 glycogen-targeting subunit, liver, not on map"
