Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Aspirin,Drug,aspirin,not applicable,not applicable,"CHEBI:15365, KEGG:D00109, PubChem:7847177",Irreversible COX inhibitor
Aspirin,Drug,salicylic acid,not applicable,not applicable,"CHEBI:16914, KEGG:D00097, PubChem:7847165",Aspirin metabolite
Aspirin,Metabolite,arachidonate,not applicable,not applicable,CHEBI:15843,
Aspirin,Metabolite,PGG2,not applicable,not applicable,CHEBI:27647,Prostaglandin G2
Aspirin,Metabolite,PGH2,not applicable,not applicable,CHEBI:15554,Prostaglandin H2
Aspirin,Metabolite,15R-HETE,not applicable,not applicable,CHEBI:63989,"15(R)-HETE, product of acetylated PTGS2"
Aspirin,Protein,COX1,PTGS1,P23219,not applicable,Constitutive cyclooxygenase
Aspirin,Protein,COX2,PTGS2,P35354,not applicable,Inducible cyclooxygenase
